Participant,Rater Code,Count,Unusable,Gender,Sex_Orient,SD_Sex_Orient,Rom_Rel,Age,Ethnicity,Col_Blind,Vis_Impair,Experimenter,FirstBlock,BlockOne,Label,TargetNum,StimSeat,StimGender,StimulusType,OrientationMatch,Rating
1,C001,184,0,1,4,,1,18,5,2,2,1,5,0,G184C_F_DNwithAudio,184C,2,0,5,1,4
1,C001,185,0,1,4,,1,18,5,2,2,1,5,0,G184C_F_SE,184C,2,0,2,1,4
1,C001,186,0,1,4,,1,18,5,2,2,1,5,0,G184C_F_SN,184C,2,0,1,1,3
1,C001,187,0,1,4,,1,18,5,2,2,1,5,0,G188B_M_DE,188B,1,1,4,0,5
1,C001,188,0,1,4,,1,18,5,2,2,1,5,0,G188B_M_DEwithAudio,188B,1,1,6,0,6
1,C001,189,0,1,4,,1,18,5,2,2,1,5,0,G188B_M_DN,188B,1,1,3,0,5
1,C001,190,0,1,4,,1,18,5,2,2,1,5,0,G188B_M_DNwithAudio,188B,1,1,5,0,6
1,C001,191,0,1,4,,1,18,5,2,2,1,5,0,G188B_M_SE,188B,1,1,2,0,3
1,C001,192,0,1,4,,1,18,5,2,2,1,5,0,G188B_M_SN,188B,1,1,1,0,4
1,C001,193,0,1,4,,1,18,5,2,2,1,5,0,G194A_F_DE,194A,0,0,4,1,8
1,C001,194,0,1,4,,1,18,5,2,2,1,5,0,G194A_F_DEwithAudio,194A,0,0,6,1,8
1,C001,195,0,1,4,,1,18,5,2,2,1,5,0,G194A_F_DN,194A,0,0,3,1,7
1,C001,196,0,1,4,,1,18,5,2,2,1,5,0,G194A_F_DNwithAudio,194A,0,0,5,1,7
1,C001,197,0,1,4,,1,18,5,2,2,1,5,0,G194A_F_SE,194A,0,0,2,1,7
1,C001,198,0,1,4,,1,18,5,2,2,1,5,0,G194A_F_SN,194A,0,0,1,1,6
1,C001,199,0,1,4,,1,18,5,2,2,1,5,0,G194B_F_DE,194B,1,0,4,1,6
1,C001,200,0,1,4,,1,18,5,2,2,1,5,0,G194B_F_DEwithAudio,194B,1,0,6,1,7
1,C001,201,0,1,4,,1,18,5,2,2,1,5,0,G194B_F_DN,194B,1,0,3,1,7
1,C001,202,0,1,4,,1,18,5,2,2,1,5,0,G194B_F_DNwithAudio,194B,1,0,5,1,7
1,C001,203,0,1,4,,1,18,5,2,2,1,5,0,G194B_F_SE,194B,1,0,2,1,7
1,C001,204,0,1,4,,1,18,5,2,2,1,5,0,G194B_F_SN,194B,1,0,1,1,6
1,C001,205,0,1,4,,1,18,5,2,2,1,5,0,G202A_M_DE,202A,0,1,4,0,4
1,C001,206,0,1,4,,1,18,5,2,2,1,5,0,G202A_M_DEwithAudio,202A,0,1,6,0,5
1,C001,207,0,1,4,,1,18,5,2,2,1,5,0,G202A_M_DN,202A,0,1,3,0,3
1,C001,208,0,1,4,,1,18,5,2,2,1,5,0,G202A_M_DNwithAudio,202A,0,1,5,0,4
